id,key,name,text,pages,Group,platform,load,created_at,updated_at
408,desludging_vehicles.validation.the_capacity_m_is_required,en,The Capacity (m³) is required.,desludging_vehicles,validation,any,f,,
409,desludging_vehicles.validation.the_capacity_must_be_numeric,en,The Capacity (m³) must be numeric.,desludging_vehicles,validation,any,f,,
410,desludging_vehicles.validation.the_capacity_must_be_positive_value,en,The Capacity must be positive value.,desludging_vehicles,validation,any,f,,
411,desludging_vehicles.validation.the_width_is_required,en,The Width (m) is required.,desludging_vehicles,validation,any,f,,
412,desludging_vehicles.validation.the_width_must_be_numeric,en,The Width (m) must be numeric.,desludging_vehicles,validation,any,f,,
413,sewer_connection.heading.sewer_connection,en,Sewer Connection,sewer_connection,heading,any,f,,
414,sewer_connection.heading.sewer_connection_ims,en,Sewer Connection IMS,sewer_connection,heading,any,f,,
415,sewer_connection.label.sewer_code,en,Sewer Code,sewer_connection,label,any,f,,
416,sewer_connection.button.approve_sewer_connection,en,Approve sewer connection,sewer_connection,button,any,f,,
417,sewer_connection.button.preview_sewer_location,en,Preview Sewer Location,sewer_connection,button,any,f,,
418,desludging_vehicles.validation.the_width_must_be_positive_value,en,The Width must be positive value.,desludging_vehicles,validation,any,f,,
419,desludging_vehicles.validation.the_service_provider_is_required,en,The Service Provider is required.,desludging_vehicles,validation,any,f,,
420,desludging_vehicles.validation.the_service_provider_id_must_be_integer,en,The Service Provider Id must be integer.,desludging_vehicles,validation,any,f,,
421,desludging_vehicles.validation.the_comply_with_maintainance_standard_is_required,en,The Comply with Maintainance Standard is required.,desludging_vehicles,validation,any,f,,
422,Treatment_plants.validation.the_name_is_required,en,The Name is required.,treatment_plants,validation,any,f,,
423,Treatment_plants.validation.the_location_is_required,en,The Location is required.,treatment_plants,validation,any,f,,
424,Treatment_plants.validation.the_geom_is_required,en,The geom is required.,treatment_plants,validation,any,f,,
425,public_community_toilets.heading.public_community_toilets,en,Public / Community Toilets,public_community_toilets,heading,any,f,,
426,public_community_toilets.button.add_public_community_toilets,en,Add Public / Community Toilets,public_community_toilets,button,any,f,,
427,public_community_toilets.heading.edit_public_community_toilets,en,Edit Public / Community Toilets,public_community_toilets,heading,any,f,,
428,public_community_toilets.heading.public_community_toilets_details,en,Public / Community Toilets Details,public_community_toilets,heading,any,f,,
429,public_community_toilets.heading.public_community_toilets_history,en,Public / Community Toilets History,public_community_toilets,heading,any,f,,
430,public_community_toilets.label.toilet_type,en,Toilet Type,public_community_toilets,label,any,f,,
431,public_community_toilets.label.toilet_name,en,Toilet Name,public_community_toilets,label,any,f,,
432,public_community_toilets.label.distance_from_nearest_road_m,en,Distance from Nearest Road (m),public_community_toilets,label,any,f,,
433,public_community_toilets.label.caretaker_contact,en,Caretaker Contact,public_community_toilets,label,any,f,,
434,public_community_toilets.label.owning_institution,en,Owning Institution,public_community_toilets,label,any,f,,
435,public_community_toilets.label.name_of_owning_institution,en,Name of Owning Institution,public_community_toilets,label,any,f,,
436,public_community_toilets.label.operate_and_maintained_by,en,Operate and Maintained by,public_community_toilets,label,any,f,,
437,public_community_toilets.label.name_of_operate_and_maintained_by,en,Name of Operate and Maintained by,public_community_toilets,label,any,f,,
438,public_community_toilets.label.no_of_households_served,en,No. of Households served,public_community_toilets,label,any,f,,
439,public_community_toilets.label.total_number_of_seats,en,Total Number of Seats,public_community_toilets,label,any,f,,
440,public_community_toilets.label.total_number_of_urinals,en,Total Number of Urinals,public_community_toilets,label,any,f,,
441,public_community_toilets.label.separate_facility_for_male_and_female,en,Separate Facility for Male and Female,public_community_toilets,label,any,f,,
442,public_community_toilets.label.no_of_seats_for_male_users,en,No. of Seats for Male Users,public_community_toilets,label,any,f,,
443,public_community_toilets.label.no_of_seats_for_female_users,en,No. of Seats for Female Users,public_community_toilets,label,any,f,,
444,public_community_toilets.label.no_of_male_users,en,No. of Male Users,public_community_toilets,label,any,f,,
445,public_community_toilets.label.no_of_female_users,en,No. of Female Users,public_community_toilets,label,any,f,,
446,public_community_toilets.label.separate_facility_for_people_with_disability,en,Separate Facility for People with Disability,public_community_toilets,label,any,f,,
447,public_community_toilets.label.toilet_connection_of_building,en,Toilet Connection of Building,public_community_toilets,label,any,f,,
448,public_community_toilets.label.no_of_seats_for_people_with_disability,en,No. of Seats for People with Disability,public_community_toilets,label,any,f,,
449,public_community_toilets.label.no_of_people_with_disability_users,en,No. of People With Disability Users,public_community_toilets,label,any,f,,
450,public_community_toilets.label.separate_facility_for_children,en,Separate Facility for Children,public_community_toilets,label,any,f,,
451,public_community_toilets.label.no_of_children_users,en,No. of Children Users,public_community_toilets,label,any,f,,
452,public_community_toilets.label.presence_of_indicative_sign,en,Presence of Indicative Sign,public_community_toilets,label,any,f,,
453,public_community_toilets.label.sanitary_supplies_and_disposal_facilities,en,Sanitary Supplies and Disposal Facilities,public_community_toilets,label,any,f,,
454,public_community_toilets.label.adherence_with_universal_design_principles,en,Adherence with Universal Design Principles,public_community_toilets,label,any,f,,
455,public_community_toilets.label.uses_fee_collection,en,Uses Fee Collection,public_community_toilets,label,any,f,,
456,public_community_toilets.label.uses_fee_rate,en,Uses Fee Rate,public_community_toilets,label,any,f,,
457,public_community_toilets.label.frequency_of_fee_collection,en,Frequency of Fee Collection,public_community_toilets,label,any,f,,
458,public_community_toilets.label.sanitary_supplies_&_disposal_facility,en,Sanitary Supplies & Disposal Facility,public_community_toilets,label,any,f,,
459,Treatment_plants.validation.the_latitude_must_be_numeric,en,The Latitude must be numeric.,treatment_plants,validation,any,f,,
460,Treatment_plants.validation.the_longitude_must_be_numeric,en,The Longitude must be numeric.,treatment_plants,validation,any,f,,
461,Treatment_plants.validation.the_capacity_per_day_m_must_be_numeric,en,The Capacity Per Day (m³) must be numeric.,treatment_plants,validation,any,f,,
462,Treatment_plants.validation.the_capacity_per_day_is_required,en,The Capacity Per Day (m³) is required.,treatment_plants,validation,any,f,,
463,Treatment_plants.validation.the_caretaker_name_is_required,en,The Caretaker Name is required.,treatment_plants,validation,any,f,,
464,Treatment_plants.validation.the_caretaker_name_may_only_contain_letters_and_spaces,en,The Caretaker Name may only contain letters and spaces.,treatment_plants,validation,any,f,,
465,Treatment_plants.validation.the_caretaker_number_is_required,en,The Caretaker Number is required.,treatment_plants,validation,any,f,,
466,Treatment_plants.validation.the_caretaker_number_must_be_an_integer,en,The Caretaker Number must be an integer.,treatment_plants,validation,any,f,,
467,Treatment_plants.validation.the_treatment_plants_type_is_required,en,The Treatment Plant Type is required.,treatment_plants,validation,any,f,,
468,Treatment_plants.validation.the_email_field_is_required_when_create_user_is_on,en,The Email field is required when create user is on.,treatment_plants,validation,any,f,,
469,performance_efficiency_test.validation.treatment_plants_is_required,en,Treatment Plant is required.,performance_efficiency_test,validation,any,f,,
470,performance_efficiency_test.validation.sample_date_is_required,en,Sample Date is required.,performance_efficiency_test,validation,any,f,,
471,performance_efficiency_test.validation.temperature_must_be_number,en,Temperature °C must be number.,performance_efficiency_test,validation,any,f,,
472,performance_efficiency_test.validation.ph_must_be_number,en,pH must be number.,performance_efficiency_test,validation,any,f,,
473,performance_efficiency_test.validation.cod_must_be_number,en,COD (mg/l) must be number.,performance_efficiency_test,validation,any,f,,
474,performance_efficiency_test.validation.bod_must_be_number,en,BOD (mg/l) must be number.,performance_efficiency_test,validation,any,f,,
475,performance_efficiency_test.validation.tss_must_be_number,en,TSS (mg/l) must be number.,performance_efficiency_test,validation,any,f,,
476,performance_efficiency_test.validation.ecoli_must_be_an_integer,en,Ecoli must be an integer.,performance_efficiency_test,validation,any,f,,
477,performance_efficiency_test.validation.cod_is_required,en,COD (mg/l) is required.,performance_efficiency_test,validation,any,f,,
478,performance_efficiency_test.validation.ph_is_required,en,pH is required.,performance_efficiency_test,validation,any,f,,
479,performance_efficiency_test.validation.bod_is_required,en,BOD (mg/l) is required.,performance_efficiency_test,validation,any,f,,
480,performance_efficiency_test.validation.tss_is_required,en,TSS (mg/l) is required.,performance_efficiency_test,validation,any,f,,
481,performance_efficiency_test.validation.ecoli_is_required,en,Ecoli is required.,performance_efficiency_test,validation,any,f,,
482,performance_efficiency_test.validation.temperature_is_required,en,Temperature °C is required.,performance_efficiency_test,validation,any,f,,
483,application.validation.the_street_name_street_code_is_required,en,The Street Name/ Street Code is required.,application,validation,any,f,,
484,application.validation.the_house_number_bin_is_required,en,The House Number / BIN is required.,application,validation,any,f,,
485,application.validation.the_ward_must_be_an_integer,en,The Ward must be an integer.,application,validation,any,f,,
486,application.validation.the_ward_must_be_at_least_1,en,The Ward must be at least 1.,application,validation,any,f,,
487,application.validation.the_owner_contact_must_be_an_integer,en,The owner contact must be an integer.,application,validation,any,f,,
488,application.validation.the_applicant_name_is_required,en,The Applicant Name is required.,application,validation,any,f,,
489,application.validation.the_applicant_gender_is_required,en,The Applicant Gender is required.,application,validation,any,f,,
490,application.validation.the_applicant_contact_is_required,en,The Applicant Contact (Phone) is required.,application,validation,any,f,,
491,application.validation.the_proposed_emptying_date_is_required,en,The Proposed Emptying Date is required.,application,validation,any,f,,
492,application.validation.the_service_provider_name_is_required,en,The Service Provider Name is required.,application,validation,any,f,,
493,application.validation.the_emergency_desludging_is_required,en,The Emergency Desludging is required.,application,validation,any,f,,
494,application.validation.the_emergency_desludging_must_be_yes_or_no,en,The Emergency Desludging must be Yes or No.,application,validation,any,f,,
495,application.validation.the_household_served_must_be_an_integer,en,The Household Served must be an integer.,application,validation,any,f,,
496,application.validation.the_household_served_must_be_at_least_1,en,The Household Served must be at least 1.,application,validation,any,f,,
497,ptct_users_log.heading.pt_users_log,en,PT Users Log,ptct_users_log,heading,any,f,,
498,ptct_users_log.button.add_pt_users_log,en,Add PT Users Log,ptct_users_log,button,any,f,,
499,ptct_users_log.heading.edit_pt_users_log,en,Edit PT Users Log,ptct_users_log,heading,any,f,,
500,ptct_users_log.heading.pt_users_log_details,en,PT Users Log Details,ptct_users_log,heading,any,f,,
501,ptct_users_log.label.no_of_male_users,en,No. of Male Users (daily),ptct_users_log,label,any,f,,
502,ptct_users_log.label.no_of_female_users,en,No. of Female Users (daily),ptct_users_log,label,any,f,,
503,application.validation.the_population_served_must_be_an_integer,en,The Population Served must be an integer.,application,validation,any,f,,
504,application.validation.the_population_served_must_be_at_least_1,en,The Population Served must be at least 1.,application,validation,any,f,,
505,application_.validation.the_toilet_count_must_be_an_integer,en,The Toilet Count must be an integer.,application,validation,any,f,,
506,application.validation.the_toilet_count_must_be_at_least_1,en,The Toilet Count must be at least 1.,application,validation,any,f,,
507,feedbacks.label.application_id,en,Application ID,feedbacks,label,mobile,f,,
508,emptying_operator.label.application_id,en,Application ID,emptying operator,label,mobile,f,,
509,building_surveyor.message.are_you_sure_you_want_to_delete_this_building_information,en,Are you sure you want to delete this building information?,building surveyor,message,mobile,f,,
510,sewer_page.message.are_you_sure_you_want_to_delete_this_sewer_information,en,Are you sure you want to delete this sewer information?,sewer page,message,mobile,f,,
511,building_surveyor.message.are_you_sure_you_want_to_remove_marker_number_1_from_the_map,en,Are you sure you want to remove marker number 1 from the map?,building surveyor,message,mobile,f,,
512,emptying_operator.label.bin,en,BIN,emptying operator,label,mobile,f,,
513,general.label.building,en,Building,general,label,mobile,f,,
514,building_surveyor.message.building_data_saved_to_local_storage,en,Building data saved to local storage,building surveyor,message,mobile,f,,
515,sewer_page.label.building_identification_number,en,Building identification number,sewer page,label,mobile,f,,
516,utility_dashboard.heading.utility_dashboard,en,Utility Dashboard,utility_dashboard,heading,any,f,,
517,utility_dashboard.countbox.road,en,Road,utility_dashboard,countbox,any,f,,
518,utility_dashboard.countbox.road_length_by_surface_type,en,Road Length by Surface Type (m),utility_dashboard,countbox,any,f,,
519,utility_dashboard.countbox.total_length_of_road,en,Total length of Road (m),utility_dashboard,countbox,any,f,,
520,utility_dashboard.countbox.road_length_by_width,en,Road Length by Width (m),utility_dashboard,countbox,any,f,,
521,utility_dashboard.countbox.metalled,en,Metalled,utility_dashboard,countbox,any,f,,
522,utility_dashboard.countbox.gravelled,en,Gravelled,utility_dashboard,countbox,any,f,,
523,utility_dashboard.countbox.brick_paved,en,Brick Paved,utility_dashboard,countbox,any,f,,
524,utility_dashboard.countbox.earthen,en,Earthen,utility_dashboard,countbox,any,f,,
525,utility_dashboard.countbox.greater_than_8,en,> 8 (m),utility_dashboard,countbox,any,f,,
526,utility_dashboard.countbox.5_to_8,en,5 - 8 (m),utility_dashboard,countbox,any,f,,
527,utility_dashboard.countbox.3_to_5,en,3 - 5 (m),utility_dashboard,countbox,any,f,,
528,utility_dashboard.countbox.less_than_3,en,< 3 (m),utility_dashboard,countbox,any,f,,
529,utility_dashboard.countbox.unknown,en,Unknown,utility_dashboard,countbox,any,f,,
530,utility_dashboard.countbox.road_length_by_hierarchy,en,Road Length by Hierarchy (m),utility_dashboard,countbox,any,f,,
531,utility_dashboard.countbox.strategic_urban_road,en,Strategic Urban Road,utility_dashboard,countbox,any,f,,
532,utility_dashboard.countbox.feeder_road,en,Feeder Road,utility_dashboard,countbox,any,f,,
533,utility_dashboard.countbox.other_road,en,Other Road,utility_dashboard,countbox,any,f,,
534,utility_dashboard.countbox.sewer,en,Sewer,utility_dashboard,countbox,any,f,,
535,utility_dashboard.countbox.sewer_length_by_diameter,en,Sewer Length by Diameter (m),utility_dashboard,countbox,any,f,,
536,utility_dashboard.countbox.total_length_of_sewer,en,Total length of Sewer (m),utility_dashboard,countbox,any,f,,
537,utility_dashboard.countbox.greater_than_300,en,> 300 (mm),utility_dashboard,countbox,any,f,,
538,utility_dashboard.countbox.160_to_300,en,160-300 (mm),utility_dashboard,countbox,any,f,,
539,utility_dashboard.countbox.less_than_160,en,< 160 (mm),utility_dashboard,countbox,any,f,,
540,utility_dashboard.countbox.drain,en,Drain,utility_dashboard,countbox,any,f,,
541,utility_dashboard.countbox.total_length_of_drain,en,Total length of Drain (m),utility_dashboard,countbox,any,f,,
542,utility_dashboard.countbox.drain_length_by_diameter,en,Drain Length by Diameter (m),utility_dashboard,countbox,any,f,,
543,utility_dashboard.countbox.drain_length_by_type,en,Drain Length by Type (m),utility_dashboard,countbox,any,f,,
544,utility_dashboard.countbox.open,en,Open,utility_dashboard,countbox,any,f,,
545,utility_dashboard.countbox.closed,en,Closed,utility_dashboard,countbox,any,f,,
546,utility_dashboard.countbox.drain_length_by_surface_type,en,Drain Length by Surface Type (m),utility_dashboard,countbox,any,f,,
547,utility_dashboard.countbox.lined,en,Lined,utility_dashboard,countbox,any,f,,
548,utility_dashboard.countbox.unlined,en,Unlined,utility_dashboard,countbox,any,f,,
549,utility_dashboard.countbox.water_supply,en,Water Supply,utility_dashboard,countbox,any,f,,
550,utility_dashboard.countbox.total_length_of_water_supply,en,Total length of Water Supply (m),utility_dashboard,countbox,any,f,,
551,utility_dashboard.countbox.water_supply_length_by_diameter,en,Water Supply Length by Diameter (m),utility_dashboard,countbox,any,f,,
552,utility_dashboard.charts.wardwise_total_road_length,en,Wardwise Total Road Length (m),utility_dashboard,charts,any,f,,
553,utility_dashboard.charts.wardwise_total_road_length_by_surface_type,en,Wardwise Total Road Length by Surface Type (m),utility_dashboard,charts,any,f,,
554,utility_dashboard.charts.wardwise_total_road_length_by_hierarchy,en,Wardwise Total Road Length by Hierarchy (m),utility_dashboard,charts,any,f,,
555,utility_dashboard.charts.wardwise_total_road_length_by_width,en,Wardwise Total Road Length by Width (m),utility_dashboard,charts,any,f,,
556,utility_dashboard.charts.wardwise_sewer_network_length,en,Wardwise Sewer Network Length (m),utility_dashboard,charts,any,f,,
557,utility_dashboard.charts.wardwise_sewer_length_by_diameter,en,Wardwise Sewer Length by Diameter (m),utility_dashboard,charts,any,f,,
558,utility_dashboard.charts.wardwise_drain_length,en,Wardwise Drain Length (m),utility_dashboard,charts,any,f,,
559,utility_dashboard.charts.wardwise_drain_length_by_type,en,Wardwise Drain Length by Type (m),utility_dashboard,charts,any,f,,
560,utility_dashboard.charts.wardwise_drain_length_by_size,en,Wardwise Drain Length by Size (m),utility_dashboard,charts,any,f,,
561,utility_dashboard.charts.wardwise_drain_length_by_surface_type,en,Wardwise Drain Length by Surface Type (m),utility_dashboard,charts,any,f,,
562,utility_dashboard.charts.wardwise_water_supply_length,en,Wardwise Water Supply Length (m),utility_dashboard,charts,any,f,,
563,utility_dashboard.charts.wardwise_water_supply_length_by_diameter,en,Wardwise Water Supply Length by Diameter (m),utility_dashboard,charts,any,f,,
564,road_network.heading.road_network,en,Road Network,road_network,heading,any,f,,
565,road_network.heading.edit_road_network,en,Edit Road Network,road_network,heading,any,f,,
566,road_network.heading.road_network_details,en,Road Network Details,road_network,heading,any,f,,
567,road_network.label.hierarchy,en,Hierarchy,road_network,label,any,f,,
568,road_network.label.surface_type,en,Surface Type,road_network,label,any,f,,
569,road_network.label.road_name,en,Road Name,road_network,label,any,f,,
570,road_network.label.right_of_way,en,Right of Way (m),road_network,label,any,f,,
571,road_network.label.road_code,en,Road Code,road_network,label,any,f,,
572,road_network.label.carrying_width_m,en,Carrying Width (m),road_network,label,any,f,,
573,road_network.label.road_length,en,Road Length (m),road_network,label,any,f,,
574,sewer_page.validation.building_identification_number_can_not_be_empty,en,Building identification number can not be empty!,sewer page,validation,mobile,f,,
575,sludge_collection.validation.the_treatment_plants_is_required,en,The Treatment Plant is required.,sludge_collection,validation,any,f,,
576,sewer_network.heading.sewer_network,en,Sewer Network,sewer_network,heading,any,f,,
577,sewer_network.heading.edit_sewer_network,en,Edit Sewer Network,sewer_network,heading,any,f,,
578,sewer_network.heading.sewer_network_details,en,Sewer Network Details,sewer_network,heading,any,f,,
579,general.validation.the_date_is_required,en,The Date is required.,general,validation,any,f,,
580,water_supply_network.heading.water_supply_network,en,Water Supply Network,water_supply_network,heading,any,f,,
581,water_supply_network.heading.edit_water_supply_network,en,Edit Water Supply Network,water_supply_network,heading,any,f,,
582,water_supply_network.heading.water_supply_network_details,en,Water Supply Network Details,water_supply_network,heading,any,f,,
583,water_supply_network.label.project_name,en,Project Name,water_supply_network,label,any,f,,
584,water_supply_network.label.length,en,Length,water_supply_network,label,any,f,,
585,water_supply_network.label.type,en,Type,water_supply_network,label,any,f,,
586,water_supply_network.label.material_type,en,Material Type,water_supply_network,label,any,f,,
587,sludge_collection.validation.the_entry_time_is_required,en,The Entry Time is required.,sludge_collection,validation,any,f,,
588,drain_network.heading.drain_network,en,Drain Network,drain_network,heading,any,f,,
589,drain_network.heading.edit_drain_network,en,Edit Drain Network,drain_network,heading,any,f,,
590,drain_network.heading.drain_network_details,en,Drain Network Details,drain_network,heading,any,f,,
591,drain_network.label.cover_type,en,Cover Type,drain_network,label,any,f,,
592,drain_network.label.width,en,Width (mm),drain_network,label,any,f,,
593,drain_network.label.treatment_plants,en,Treatment Plant,drain_network,label,any,f,,
594,solid_waste_iss.heading.solid_waste_information_support_system,en,Solid Waste Information Support System,solid_waste_iss,heading,any,f,,
595,solid_waste_iss.label.import_solid_waste_information_support_system,en,Import Solid Waste Information Support System,solid_waste_iss,label,any,f,,
596,solid_waste_iss.label.wards,en,Wards,solid_waste_iss,label,any,f,,
597,solid_waste_iss.label.years_due,en,Years Due,solid_waste_iss,label,any,f,,
598,solid_waste_iss.label.match,en,Match,solid_waste_iss,label,any,f,,
599,property_tax_collection_iss.heading.property_tax_collection_information_support_system,en,Property Tax Collection Information Support System,property_tax_collection_iss,heading,any,f,,
600,property_tax_collection_iss.heading.import_property_tax_collection_information_support_system,en,Import Property Tax Collection Information Support System,property_tax_collection_iss,heading,any,f,,
601,property_tax_collection_iss.label.upload_property_tax_collection_information_support_system_file,en,Upload Property Tax Collection Information Support System File,property_tax_collection_iss,label,any,f,,
602,property_tax_collection_iss.label.tax_code,en,Tax Code,property_tax_collection_iss,label,any,f,,
603,water_supply_iss.heading.water_supply_information_support_system,en,Water Supply Information Support System,water_supply_iss,heading,any,f,,
604,water_supply_iss.import.import_water_supply_information_support_system,en,Import Water Supply Information Support System,water_supply_iss,import,any,f,,
605,water_supply_iss.label.upload_water_supply_information_support_system_file,en,Upload Water Supply Information Support System File,water_supply_iss,label,any,f,,
606,water_supply_iss.label.water_customer_id,en,Water Customer ID,water_supply_iss,label,any,f,,
607,water_supply_iss.label.customer_name,en,Customer Name,water_supply_iss,label,any,f,,
608,water_samples.heading.water_samples,en,Water Samples,water_samples,heading,any,f,,
609,water_samples.heading.water_samples_details,en,Water Samples Details,water_samples,heading,any,f,,
610,water_samples.heading.water_samples_history,en,Water Samples History,water_samples,heading,any,f,,
611,water_samples.button.add_water_samples,en,Add Water Samples,water_samples,button,any,f,,
612,water_samples.heading.edit_water_samples,en,Edit Water Samples,water_samples,heading,any,f,,
613,water_samples.label.water_coliform_test_result,en,Water Coliform Test Result,water_samples,label,any,f,,
614,sludge_collection.validation.the_exit_time_is_required,en,The Exit Time is required.,sludge_collection,validation,any,f,,
615,sludge_collection.validation.the_exit_time_must_be_after_the_entry_time,en,The Exit Time must be after the Entry Time.,sludge_collection,validation,any,f,,
616,feedbacks.validation.the_fsm_service_quality_is_required,en,The FSM Service Quality is required.,feedbacks,validation,any,f,,
617,feedbacks.validation.the_wear_ppe_is_required,en,The Wear PPE is required.,feedbacks,validation,any,f,,
618,help_desks.validation.the_help_desk_name_is_required,en,The Help Desk Name is required.,help_desks,validation,any,f,,
619,help_desks.validation.the_email_address_is_required,en,The Email Address is required.,help_desks,validation,any,f,,
620,help_desks.validation.the_email_address_format_is_invalid,en,The Email Address format is invalid.,help_desks,validation,any,f,,
621,help_desks.validation.the_email_address_has_already_been_taken,en,The Email Address has already been taken.,help_desks,validation,any,f,,
622,help_desks.validation.the_description_is_required,en,The Description is required.,help_desks,validation,any,f,,
623,waterborne_hotspot.button.add_waterborne_hotspot,en,Add Waterborne Hotspot,waterborne_hotspot,button,any,f,,
624,waterborne_hotspot.heading.waterborne_hotspot,en,Waterborne Hotspot,waterborne_hotspot,heading,any,f,,
625,waterborne_hotspot.heading.edit_waterborne_hotspot,en,Edit Waterborne Hotspot,waterborne_hotspot,heading,any,f,,
626,waterborne_hotspot.heading.waterborne_hotspot_details,en,Waterborne Hotspot Details,waterborne_hotspot,heading,any,f,,
627,waterborne_hotspot.label.year,en,Year,waterborne_hotspot,label,any,f,,
628,waterborne_hotspot.label.infected_disease,en,Infected Disease,waterborne_hotspot,label,any,f,,
629,waterborne_hotspot.label.no_of_cases,en,No. of Cases,waterborne_hotspot,label,any,f,,
630,waterborne_hotspot.label.no_of_fatalities,en,No. of Fatalities,waterborne_hotspot,label,any,f,,
631,waterborne_hotspot.label.notes,en,Notes,waterborne_hotspot,label,any,f,,
632,waterborne_hotspot.label.hotspot_location,en,Hotspot Location,waterborne_hotspot,label,any,f,,
633,waterborne_hotspot.label.hotspot_area,en,Hotspot Area,waterborne_hotspot,label,any,f,,
634,help_desks.validation.the_contact_number_is_required,en,The Contact Number is required.,help_desks,validation,any,f,,
635,help_desks.validation.the_contact_number_must_be_an_integer,en,The Contact Number must be an integer.,help_desks,validation,any,f,,
636,sewer_connection.validation.the_bin_is_already_registered,en,The bin is already registered.,sewer_connection,validation,any,f,,
637,sewer_connection.validation.the_bin_is_required,en,The bin is required.,sewer_connection,validation,any,f,,
638,sewer_connection.validation.the_bin_should_be_string,en,The bin should be string.,sewer_connection,validation,any,f,,
639,sewer_connection.validation.the_sewer_code_should_be_string,en,The sewer code should be string.,sewer_connection,validation,any,f,,
640,sewer_connection.validation.the_sewer_code_is_required,en,Sewer Code is required.,sewer_connection,validation,any,f,,
641,sewer_connection.validation.existing_sanitation_of_building_will_be_updated_as_sewer_network_and_corresponding_containment_connection_will_be_removed_,en,Existing Sanitation of Building will be updated as Sewer Network and corresponding containment connection (if any) will be removed !,sewer_connection,validation,any,f,,
642,sewer_connection.validation.no,en,No.,sewer_connection,validation,any,f,,
643,public_community_toilets.validation.the_toilet_type_is_required,en,The Toilet Type is required.,public_community_toilets,validation,any,f,,
644,public_community_toilets.validation.the_toilet_name_already_in_use,en,The Toilet Name already in use.,public_community_toilets,validation,any,f,,
645,public_community_toilets.validation.the_bin_is_already_in_use,en,The BIN is already in use.,public_community_toilets,validation,any,f,,
646,public_community_toilets.validation.the_toilet_name_must_be_a_string,en,The Toilet Name must be a string.,public_community_toilets,validation,any,f,,
647,general.validation.the_location_must_be_a_string,en,The Location must be a string.,general,validation,any,f,,
648,public_community_toilets.validation.the_distance_from_nearest_road_must_be_numeric,en,The Distance from Nearest Road must be numeric.,public_community_toilets,validation,any,f,,
649,public_community_toilets.validation.the_distance_from_nearest_road_should_be_positive_value,en,The Distance from Nearest Road should be positive value.,public_community_toilets,validation,any,f,,
650,public_community_toilets.validation.the_caretaker_name_must_be_a_string,en,The Caretaker Name must be a string.,public_community_toilets,validation,any,f,,
651,public_community_toilets.validation.the_caretaker_gender_is_required,en,The Caretaker Gender is required.,public_community_toilets,validation,any,f,,
652,public_community_toilets.validation.the_caretaker_contact_is_required,en,The Caretaker Contact is required.,public_community_toilets,validation,any,f,,
653,public_community_toilets.validation.the_caretaker_contact_must_be_an_integer,en,The Caretaker Contact must be an integer.,public_community_toilets,validation,any,f,,
654,public_community_toilets.validation.the_owning_institution_is_required,en,The Owning Institution is required.,public_community_toilets,validation,any,f,,
655,waterborne_cases_information.button.add_waterborne_cases_information,en,Add Waterborne Cases Information,waterborne_cases_information,button,any,f,,
656,waterborne_cases_information.heading.waterborne_cases_information,en,Waterborne Cases Information,waterborne_cases_information,heading,any,f,,
657,waterborne_cases_information.heading.edit_waterborne_cases_information,en,Edit Waterborne Cases Information,waterborne_cases_information,heading,any,f,,
658,waterborne_cases_information.heading.waterborne_cases_information_details,en,Waterborne Cases Information Details,waterborne_cases_information,heading,any,f,,
659,public_community_toilets.validation.the_owning_institution_must_be_a_string,en,The Owning Institution must be a string.,public_community_toilets,validation,any,f,,
660,public_community_toilets.validation.the_name_of_owning_institution_must_be_a_string,en,The Name of Owning Institution must be a string.,public_community_toilets,validation,any,f,,
661,public_community_toilets.validation.the_operate_and_maintained_by_is_required,en,The Operate and Maintained by is required.,public_community_toilets,validation,any,f,,
662,public_community_toilets.validation.the_name_of_operate_and_maintained_by_must_be_a_string,en,The Name of Operate and Maintained by must be a string.,public_community_toilets,validation,any,f,,
663,public_community_toilets.validation.the_total_number_of_seats_must_be_an_integer,en,The Total Number of Seats must be an integer.,public_community_toilets,validation,any,f,,
664,cwis_dashboard.heading.cwis_dashboard,en,CWIS Dashboard,cwis_dashboard,heading,any,f,,
665,cwis_dashboard.label.all,en,All,cwis_dashboard,label,any,f,,
666,cwis_dashboard.generate.generate_pdf,en,Generate PDF,cwis_dashboard,generate,any,f,,
667,cwis_dashboard.charts.ratio_of_lic_access_to_total_population_access,en,Ratio of LIC access to total population access,cwis_dashboard,charts,any,f,,
668,kpi_dashboard.heading.key_performance_indicators_dashboard,en,Key Performance Indicators (KPIs) Dashboard,kpi_dashboard,heading,any,f,,
669,kpi_dashboard.button.generate_report,en,Generate Report,kpi_dashboard,button,any,f,,
670,kpi_dashboard.charts.application_response,en,Application Response,kpi_dashboard,charts,any,f,,
671,kpi_dashboard.charts.customer_satisfaction,en,Customer Satisfaction,kpi_dashboard,charts,any,f,,
672,kpi_dashboard.charts.ppe_compliance,en,PPE Compliance,kpi_dashboard,charts,any,f,,
673,kpi_dashboard.charts.safe_desludging,en,Safe Desludging,kpi_dashboard,charts,any,f,,
674,kpi_dashboard.charts.inclusion,en,Inclusion,kpi_dashboard,charts,any,f,,
675,kpi_dashboard.charts.response_time,en,Response Time (hrs),kpi_dashboard,charts,any,f,,
676,kpi_dashboard.charts.faecal_sludge_collection_ratio,en,Faecal Sludge Collection Ratio,kpi_dashboard,charts,any,f,,
677,kpi_target.heading.kpi_target,en,KPI Target,kpi_target,heading,any,f,,
