id,key,name,text,pages,Group,platform,load,translated_text
320,low_income_community.validation.the_no_of_households_is_required,en,The No. of Households is required.,low_income_community,validation,any,f,घरपरिवारको संख्या आवश्यक छ
321,low_income_community.validation.the_no_of_households_must_be_an_integer,en,The No. of Households must be an integer.,low_income_community,validation,any,f,घरपरिवारको संख्या अंकमा हुनुपर्छ
322,low_income_community.validation.the_no_of_households_must_be_at_least_0,en,The No. of Households must be at least 0.,low_income_community,validation,any,f,घरपरिवारको संख्या कम्तिमा शून्य हुनुपर्छ
323,low_income_community.validation.the_male_population_must_be_an_integer,en,The Male Population must be an integer.,low_income_community,validation,any,f,पुरुष जनसंख्या अंकमा हुनुपर्छ
324,low_income_community.validation.the_male_population_must_be_at_least_0,en,The Male Population must be at least 0.,low_income_community,validation,any,f,पुरुष जनसंख्या कम्तिमा शून्य हुनुपर्छ
325,low_income_community.validation.the_female_population_must_be_an_integer,en,The Female Population must be an integer.,low_income_community,validation,any,f,महिला जनसंख्या अंकमा हुनुपर्छ
326,low_income_community.validation.the_female_population_must_be_at_least_0,en,The Female Population must be at least 0.,low_income_community,validation,any,f,महिला जनसंख्या कम्तिमा शून्य हुनुपर्छ
327,low_income_community.validation.the_other_population_must_be_an_integer,en,The Other Population must be an integer.,low_income_community,validation,any,f,अन्य जनसंख्या अंकमा हुनुपर्छ
328,low_income_community.validation.the_other_population_must_be_at_least_0,en,The Other Population must be at least 0.,low_income_community,validation,any,f,अन्य जनसंख्या कम्तिमा शून्य हुनुपर्छ
329,performance_efficiency_standard.heading.performance_efficiency_standards,en,Performance Efficiency Standards,performance_efficiency_standard,heading,any,f,कार्य सम्पादन दक्षताको मापदण्ड
330,performance_efficiency_standard.label.tss_standard_mgl,en,TSS Standard (mg/l),performance_efficiency_standard,label,any,f,TSS मापदण्ड (मि.ग्रा./लि.)
331,performance_efficiency_standard.label.ecoli_standard,en,ECOLI Standard (CFU/100 mL),performance_efficiency_standard,label,any,f,E.coli. मापदण्ड (CFU/100 मी.ली.)
332,performance_efficiency_standard.label.ph_minimum,en,pH Minimum,performance_efficiency_standard,label,any,f,न्यूनतम pH
333,performance_efficiency_standard.label.ph_maximum,en,pH Maximum,performance_efficiency_standard,label,any,f,अधिकतम pH
334,performance_efficiency_standard.label.bod_standard_mgl,en,BOD Standard (mg/l),performance_efficiency_standard,label,any,f,BOD मापदण्ड (मि.ग्रा./लि.)
335,application.heading.application,en,Application,application,heading,any,f,आवेदन
336,application.button.add_application,en,Add Application,application,button,any,f,आवेदन थप्नुहोस्
337,application.label.house_number_bin,en,House Number / BIN,application,label,any,f,घर नम्बर / BIN
338,application.label.application_date,en,Application Date,application,label,any,f,आवेदनको मिति
339,application.label.proposed_emptying_date,en,Proposed Emptying Date,application,label,any,f,प्रस्तावित खाली मिति
340,application.label.street_name_street_code,en,Street Name / Street Code,application,label,any,f,सडकको नाम / सडकको संकेत
341,application.label.sludge_collection_status,en,Sludge Collection Status,application,label,any,f,स्लज संकलन स्थिति
342,application.label.feedback_status,en,Feedback Status,application,label,any,f,"प्रतिक्रिया स्थिति
"
343,application.label.owner_contact_phone,en,Owner Contact (Phone),application,label,any,f,घरधनिको सम्पर्क नम्बर (फोन)
344,application.label.applicant_name,en,Applicant Name,application,label,any,f,आवेदकको नाम
345,application.label.applicant_gender,en,Applicant Gender,application,label,any,f,आवेदकको लिङ्ग
346,application.label.applicant_contact,en,Applicant Contact (Phone),application,label,any,f,आवेदकको सम्पर्क नम्बर (फोन)
347,application.label.emergency_desludging,en,Emergency Desludging,application,label,any,f,आपतकालीन खाली गर्ने कार्य
348,application.label.contact,en,Contact,application,label,any,f,सम्पर्क
349,application.button.view_emptying_service_details,en,View Emptying Service Details,application,button,any,f,खाली गर्ने सेवा विवरणहरू हेर्नुहोस्
350,application.button.add_sludge_collection_details,en,Add Sludge Collection Details,application,button,any,f,स्लज संकलन विवरणहरू थप्नुहोस्
351,application.button.add_feedback_details,en,Add Feedback Details,application,button,any,f,प्रतिक्रिया विवरणहरू थप्नुहोस्
352,low_income_community.validation.the_no_of_septic_tanks_must_be_an_integer,en,The No. of Septic Tanks must be an integer.,low_income_community,validation,any,f,सेप्टिक ट्याङ्कहरूको संख्या अंकमा हुनुपर्छ
353,low_income_community.validation.the_no_of_septic_tanks_must_be_at_least_0,en,The No. of Septic Tanks must be at least 0.,low_income_community,validation,any,f,सेप्टिक ट्याङ्कीहरूको संख्या कम्तिमा शून्य हुनुपर्छ
354,low_income_community.validation.the_no_of_holding_tanks_must_be_an_integer,en,The No. of Holding Tanks must be an integer.,low_income_community,validation,any,f,होल्डिङ ट्याङ्कहरूको संख्या अंकमा हुनुपर्छ
355,low_income_community.validation.the_no_of_holding_tanks_must_be_at_least_0,en,The No. of Holding Tanks must be at least 0.,low_income_community,validation,any,f,होल्डिङ ट्याङ्कहरूको संख्या कम्तिमा शून्य हुनुपर्छ
356,low_income_community.validation.the_no_of_pits_must_be_an_integer,en,The No. of Pits must be an integer.,low_income_community,validation,any,f,खाडलहरूको संख्या अंकमा हुनुपर्छ
357,low_income_community.validation.the_no_of_pits_must_be_at_least_0,en,The No. of Pits must be at least 0.,low_income_community,validation,any,f,खाडलहरूको संख्या कम्तिमा शून्य हुनुपर्छ
358,low_income_community.validation.the_no_of_sewer_connection_must_be_an_integer,en,The No. of Sewer Connections must be an integer.,low_income_community,validation,any,f,ढल जडानहरूको संख्या अंकमा हुनुपर्छ
359,low_income_community.validation.the_no_of_sewer_connection_must_be_at_least_0,en,The No. of Sewer Connections must be at least 0.,low_income_community,validation,any,f,ढल जडानको संख्या कम्तिमा शून्य हुनुपर्छ
360,low_income_community.validation.the_no_of_community_toilets_must_be_an_integer,en,The No. of Community Toilets must be an integer.,low_income_community,validation,any,f,सामुदायिक शौचालयको संख्या अंकमा हुनुपर्छ
361,low_income_community.validation.the_no_of_community_toilets_must_be_at_least_0,en,The No. of Community Toilets must be at least 0.,low_income_community,validation,any,f,सामुदायिक शौचालयको संख्या कम्तिमा शून्य हुनुपर्छ
362,low_income_community.validation.the_area_is_required,en,The Area is required.,low_income_community,validation,any,f,क्षेत्रफल आवश्यक छ
363,containments.validation.the_containment_type_required,en,The Containment Type required.,containments,validation,any,f,संकलन ट्याङ्की प्रकार आवश्यक छ
364,containments.validation.the_tank_depth_should_be_positive_value,en,The Tank depth should be positive value.,containments,validation,any,f,ट्याङ्कीको गहिराइ सकारात्मक अंकमा हुनुपर्छ
365,containments.validation.the_tank_length_should_be_positive_value,en,The Tank length should be positive value.,containments,validation,any,f,ट्याङ्कीको लम्बाइ सकारात्मक अंकमा हुनुपर्छ
366,containments.validation.the_tank_width_should_be_positive_value,en,The Tank width should be positive value.,containments,validation,any,f,ट्याङ्कीको चौडाइ सकारात्मक अंकमा हुनुपर्छ
367,containments.validation.total_number_of_toilets_should_be_positive_value,en,Total Number of Toilets should be positive value.,containments,validation,any,f,शौचालयको कुल संख्या सकारात्मक अंकमा हुनुपर्छ
368,containments.validation.the_pit_depth_should_be_positive_value,en,The Pit Depth should be positive value.,containments,validation,any,f,खाडलको गहिराइ सकारात्मक अंकमा हुनुपर्छ
369,containments.validation.the_pit_diameter_count_should_be_positive_value,en,The Pit Diameter Count should be positive value.,containments,validation,any,f,खाडलको व्यास गणना सकारात्मक अंकमा हुनुपर्छ
370,emptying.heading.emptying,en,Emptying,emptying,heading,any,f,खाली गरिदै
371,emptying.heading.emptying_details,en,Emptying Details,emptying,heading,any,f,खाली गर्ने विवरणहरू
372,emptying_operator.label.applicant's_contact,en,Applicant's Contact,emptying operator,label,mobile,f,आवेदकको सम्पर्क
373,emptying_operator.label.applicant's_gender,en,Applicant's Gender,emptying operator,label,mobile,f,आवेदकको लिङ्ग
374,containments.validation.sewer_code_required,en,Sewer Code required.,containments,validation,any,f,ढल निकास संकेत नम्बर आवश्यक छ
375,containments.validation.drain_code_required,en,Drain Code required.,containments,validation,any,f,नालीको संकेत आवश्यक छ
376,employee_information.validation.the_name_may_only_contain_letters_and_spaces,en,The Name may only contain letters and spaces.,employee_information,validation,any,f,नाममा अक्षर र खाली ठाउँ मात्र हुनसक्छ
377,employee_information.validation.the_employee_name_is_required,en,The Employee Name is required.,employee_information,validation,any,f,कर्मचारीको नाम आवश्यक छ
378,employee_information.validation.the_employee_gender_is_required,en,The Employee Gender is required.,employee_information,validation,any,f,कर्मचारीको लिङ्ग आवश्यक छ
379,employee_information.validation.the_employee_contact_number_is_required,en,The Employee Contact Number is required.,employee_information,validation,any,f,कर्मचारीको सम्पर्क नम्बर आवश्यक छ
380,employee_information.validation.the_employee_contact_number_must_be_an_integer,en,The Employee Contact Number must be an integer.,employee_information,validation,any,f,कर्मचारी सम्पर्क नम्बर अंकमा हुनुपर्छ
381,employee_information.validation.the_address_must_be_a_string,en,The Address must be a string.,employee_information,validation,any,f,ठेगाना अक्षरमा हुनुपर्छ
382,employee_information.validation.the_designation_is_required,en,The Designation is required.,employee_information,validation,any,f,पद आवश्यक छ
383,sludge_collection.heading.sludge_collections,en,Sludge Collections,sludge_collection,heading,any,f,स्लज संकलन
384,sludge_collection.heading.sludge_collections_details,en,Sludge Collections Details,sludge_collection,heading,any,f,स्लज संकलन विवरणहरू
385,treatment_plants.label.treatment_plants_name,en,Treatment Plant Name,treatment_plants,label,any,f,प्रशोधन केंद्रको नाम
386,sludge_collection.label.desludging_vehicle_number_plate,en,Desludging Vehicle Number Plate,sludge_collection,label,any,f,सवारी साधनको नम्बर प्लेट
387,emptying_operator.label.applicant's_name,en,Applicant's Name,emptying operator,label,mobile,f,"आवेदकको नाम
"
388,employee_information.validation.the_year_of_experience_must_be_an_integer,en,The Year of Experience must be an integer.,employee_information,validation,any,f,काम को अनुभव वर्ष अंकमा हुनुपर्छ
389,employee_information.validation.the_monthly_remuneration_field_must_be_an_integer,en,The Monthly Remuneration field must be an integer.,employee_information,validation,any,f,मासिक पारिश्रमिक अंक हुनुपर्छ
390,employee_information.validation.the_driving_license_number_is_required_when_designation_is_driver,en,The Driving License Number is required when designation is driver.,employee_information,validation,any,f,पद चालक भएमा गाडीचालक अनुमतिपत्र नम्बर आवश्यक पर्दछ
391,employee_information.validation.the_driving_license_number_must_be_an_integer,en,The Driving License Number must be an integer.,employee_information,validation,any,f,सवारीचालक अनुमतिपत्र अंकमा हुनुपर्छ
392,employee_information.validation.the_driving_license_issue_date_is_required_when_designation_is_driver,en,The Driving License Issue Date is required when designation is driver.,employee_information,validation,any,f,पद चालक भएमा सवारीचालक अनुमतिपत्रको जारी मिति आवश्यक पर्दछ
393,feedbacks.heading.feedbacks,en,Feedbacks,feedbacks,heading,any,f,"प्रतिक्रियाहरू
"
394,feedbacks.heading.feedbacks_details,en,Feedbacks Details,feedbacks,heading,any,f,"प्रतिक्रिया विवरण
"
395,emptying_operator.label.application_date,en,Application Date,emptying operator,label,mobile,f,आवेदनको मिति
396,feedbacks.label.feedback_date,en,Feedback Date,feedbacks,label,any,f,"प्रतिक्रिया मिति
"
397,employee_information.validation.the_job_start_date_is_required,en,The Job Start Date is required.,employee_information,validation,any,f,काम सुरु मिति आवश्यक छ
398,employee_information.validation.the_job_end_date_is_required_when_status_is_inactive,en,The Job End Date is required when Status is Inactive.,employee_information,validation,any,f,स्थिति निष्क्रिय हुँदा काम समाप्ति मिति आवश्यक पर्दछ
399,help_desks.heading.help_desks,en,Help Desks,help_desks,heading,any,f,सहयोग कक्षहरू
400,help_desks.button.add_help_desk,en,Add Help Desk,help_desks,button,any,f,थप सहयोग कक्ष
401,help_desks.heading.edit_help_desk,en,Edit Help Desk,help_desks,heading,any,f,सहयोग कक्ष सम्पादन गर्नुहोस्
402,help_desks.heading.help_desk_details,en,Help Desk Details,help_desks,heading,any,f,सहयोग कक्षको विवरणहरू
403,help_desks.label.help_desk_name,en,Help Desk Name,help_desks,label,any,f,सहयोग कक्षको नाम
404,help_desks.label.contact_number,en,Contact Number,help_desks,label,any,f,सम्पर्क नम्बर
405,help_desks.label.email_address,en,Email Address,help_desks,label,any,f,इमेल ठेगाना
406,employee_information.validation.the_job_end_date_must_be_a_date_after_job_start_date,en,The Job End Date must be a date after Job Start Date.,employee_information,validation,any,f,काम समाप्त हुने मिति काम सुरु हुने मिति पछिको मिति हुनुपर्छ
407,desludging_vehicles.validation.the_vehicle_license_plate_number_is_required,en,The Vehicle License Plate Number is required.,desludging_vehicles,validation,any,f,सवारी साधनको लाइसेन्स प्लेट नम्बर आवश्यक छ
408,desludging_vehicles.validation.the_capacity_m_is_required,en,The Capacity (mÂ³) is required.,desludging_vehicles,validation,any,f,क्षमता (घ.मी.) आवश्यक छ
409,desludging_vehicles.validation.the_capacity_must_be_numeric,en,The Capacity (mÂ³) must be numeric.,desludging_vehicles,validation,any,f,क्षमता (घ.मी.) अंकमा हुनुपर्छ
410,desludging_vehicles.validation.the_capacity_must_be_positive_value,en,The Capacity must be positive value.,desludging_vehicles,validation,any,f,क्षमता सकारात्मक अंक हुनुपर्छ
411,desludging_vehicles.validation.the_width_is_required,en,The Width (m) is required.,desludging_vehicles,validation,any,f,चौडाइ (मी.) आवश्यक छ
412,desludging_vehicles.validation.the_width_must_be_numeric,en,The Width (m) must be numeric.,desludging_vehicles,validation,any,f,चौडाइ (मी.) अंकमा हुनुपर्छ
413,sewer_connection.heading.sewer_connection,en,Sewer Connection,sewer_connection,heading,any,f,ढल जडान
414,sewer_connection.heading.sewer_connection_ims,en,Sewer Connection IMS,sewer_connection,heading,any,f,ढल जडान जानकारी ब्यबस्थापन प्रणाली
415,sewer_connection.label.sewer_code,en,Sewer Code,sewer_connection,label,any,f,ढलको संकेत नम्बर
416,sewer_connection.button.approve_sewer_connection,en,Approve sewer connection,sewer_connection,button,any,f,ढल जडान स्वीकृत गर्नुहोस्
417,sewer_connection.button.preview_sewer_location,en,Preview Sewer Location,sewer_connection,button,any,f,ढल स्थान पूर्वावलोकन गर्नुहोस्
418,desludging_vehicles.validation.the_width_must_be_positive_value,en,The Width must be positive value.,desludging_vehicles,validation,any,f,चौडाइ सकारात्मक अंक हुनुपर्छ
419,desludging_vehicles.validation.the_service_provider_is_required,en,The Service Provider is required.,desludging_vehicles,validation,any,f,सेवा प्रदायक आवश्यक छ
420,desludging_vehicles.validation.the_service_provider_id_must_be_integer,en,The Service Provider Id must be integer.,desludging_vehicles,validation,any,f,सेवा प्रदायक संकेत नम्बर अंकमा हुनुपर्छ
421,desludging_vehicles.validation.the_comply_with_maintainance_standard_is_required,en,The Comply with Maintainance Standard is required.,desludging_vehicles,validation,any,f,मर्मतसम्भार मापदण्डको पालना अनिवार्य छ
422,Treatment_plants.validation.the_name_is_required,en,The Name is required.,treatment_plants,validation,any,f,नाम आवश्यक छ
423,Treatment_plants.validation.the_location_is_required,en,The Location is required.,treatment_plants,validation,any,f,स्थान आवश्यक छ
424,Treatment_plants.validation.the_geom_is_required,en,The geom is required.,treatment_plants,validation,any,f,GEOM आवश्यक छ
425,public_community_toilets.heading.public_community_toilets,en,Public / Community Toilets,public_community_toilets,heading,any,f,सार्वजनिक / सामुदायिक शौचालयहरू
426,public_community_toilets.button.add_public_community_toilets,en,Add Public / Community Toilets,public_community_toilets,button,any,f,सार्वजनिक / सामुदायिक शौचालयहरू थप्नुहोस्
427,public_community_toilets.heading.edit_public_community_toilets,en,Edit Public / Community Toilets,public_community_toilets,heading,any,f,सार्वजनिक / सामुदायिक शौचालयहरू सम्पादन गर्नुहोस्
428,public_community_toilets.heading.public_community_toilets_details,en,Public / Community Toilets Details,public_community_toilets,heading,any,f,सार्वजनिक / सामुदायिक शौचालयहरू विवरणहरू
429,public_community_toilets.heading.public_community_toilets_history,en,Public / Community Toilets History,public_community_toilets,heading,any,f,सार्वजनिक / सामुदायिक शौचालयहरूको अभिलेख
430,public_community_toilets.label.toilet_type,en,Toilet Type,public_community_toilets,label,any,f,शौचालयको प्रकार
431,public_community_toilets.label.toilet_name,en,Toilet Name,public_community_toilets,label,any,f,शौचालयको नाम
432,public_community_toilets.label.distance_from_nearest_road_m,en,Distance from Nearest Road (m),public_community_toilets,label,any,f,नजिकको सडकदेखि दूरी (मी.)
433,public_community_toilets.label.caretaker_contact,en,Caretaker Contact,public_community_toilets,label,any,f,हेरालूको सम्पर्क नम्बर
434,public_community_toilets.label.owning_institution,en,Owning Institution,public_community_toilets,label,any,f,स्वामित्व भएको संस्था
435,public_community_toilets.label.name_of_owning_institution,en,Name of Owning Institution,public_community_toilets,label,any,f,स्वामित्व भएको संस्थाको नाम
436,public_community_toilets.label.operate_and_maintained_by,en,Operate and Maintained by,public_community_toilets,label,any,f,सञ्चालन तथा मर्मतसम्भार
437,public_community_toilets.label.name_of_operate_and_maintained_by,en,Name of Operate and Maintained by,public_community_toilets,label,any,f,सञ्चालन तथा मर्मतसम्भार गर्ने व्यक्तिको नाम
438,public_community_toilets.label.no_of_households_served,en,No. of Households served,public_community_toilets,label,any,f,सेवा दिइने परिवारको संख्या
439,public_community_toilets.label.total_number_of_seats,en,Total Number of Seats,public_community_toilets,label,any,f,कुल सिट संख्या
440,public_community_toilets.label.total_number_of_urinals,en,Total Number of Urinals,public_community_toilets,label,any,f,यूरिनलको कुल संख्या
441,public_community_toilets.label.separate_facility_for_male_and_female,en,Separate Facility for Male and Female,public_community_toilets,label,any,f,पुरुष र महिलाको लागी छुट्टाछुट्टै सुविधा
442,public_community_toilets.label.no_of_seats_for_male_users,en,No. of Seats for Male Users,public_community_toilets,label,any,f,पुरुष प्रयोगकर्ताहरूको लागि सिट संख्या
443,public_community_toilets.label.no_of_seats_for_female_users,en,No. of Seats for Female Users,public_community_toilets,label,any,f,महिला प्रयोगकर्ताहरूको लागि सिट संख्या
444,public_community_toilets.label.no_of_male_users,en,No. of Male Users,public_community_toilets,label,any,f,पुरुष प्रयोगकर्ताहरूको संख्या
445,public_community_toilets.label.no_of_female_users,en,No. of Female Users,public_community_toilets,label,any,f,महिला प्रयोगकर्ताहरूको संख्या
446,public_community_toilets.label.separate_facility_for_people_with_disability,en,Separate Facility for People with Disability,public_community_toilets,label,any,f,अपाङ्गता भएका व्यक्तिहरूको लागी छुट्टै सुविधा
447,public_community_toilets.label.toilet_connection_of_building,en,Toilet Connection of Building,public_community_toilets,label,any,f,भवनको शौचालय जडान
448,public_community_toilets.label.no_of_seats_for_people_with_disability,en,No. of Seats for People with Disability,public_community_toilets,label,any,f,अपाङ्गता भएका व्यक्तिहरूको लागी सिट संख्या
449,public_community_toilets.label.no_of_people_with_disability_users,en,No. of People With Disability Users,public_community_toilets,label,any,f,अपाङ्गता भएका व्यक्तिहरूको संख्या
450,public_community_toilets.label.separate_facility_for_children,en,Separate Facility for Children,public_community_toilets,label,any,f,बालबालिकाहरूको लागि छुट्टै सुविधा
451,public_community_toilets.label.no_of_children_users,en,No. of Children Users,public_community_toilets,label,any,f,बालबालिकाहरूको संख्या
452,public_community_toilets.label.presence_of_indicative_sign,en,Presence of Indicative Sign,public_community_toilets,label,any,f,संकेत चिन्हको उपस्थिति
453,public_community_toilets.label.sanitary_supplies_and_disposal_facilities,en,Sanitary Supplies and Disposal Facilities,public_community_toilets,label,any,f,स्वच्छताको सामग्रीहरु र बिसर्जनको सुविधा
454,public_community_toilets.label.adherence_with_universal_design_principles,en,Adherence with Universal Design Principles,public_community_toilets,label,any,f,सर्बब्यापी डिजाइन सिद्धान्तहरूको पालना
455,public_community_toilets.label.uses_fee_collection,en,Uses Fee Collection,public_community_toilets,label,any,f,शुल्क सङ्कलन प्रयोग गर्दछ
456,public_community_toilets.label.uses_fee_rate,en,Uses Fee Rate,public_community_toilets,label,any,f,शुल्क दर प्रयोग गर्दछ
457,public_community_toilets.label.frequency_of_fee_collection,en,Frequency of Fee Collection,public_community_toilets,label,any,f,शुल्क सङ्कलनको आवृत्ति
458,public_community_toilets.label.sanitary_supplies_&_disposal_facility,en,Sanitary Supplies & Disposal Facility,public_community_toilets,label,any,f,स्वच्छताको सामग्रीहरु र बिसर्जनको सुविधा
459,Treatment_plants.validation.the_latitude_must_be_numeric,en,The Latitude must be numeric.,treatment_plants,validation,any,f,अक्षांश संख्यात्मक हुनुपर्छ
460,Treatment_plants.validation.the_longitude_must_be_numeric,en,The Longitude must be numeric.,treatment_plants,validation,any,f,देशान्तर संख्यात्मक हुनुपर्छ
461,Treatment_plants.validation.the_capacity_per_day_m_must_be_numeric,en,The Capacity Per Day (mÂ³) must be numeric.,treatment_plants,validation,any,f,प्रति दिन क्षमता (घ.मी.) अंकमा हुनुपर्छ
462,Treatment_plants.validation.the_capacity_per_day_is_required,en,The Capacity Per Day (mÂ³) is required.,treatment_plants,validation,any,f,प्रति दिन क्षमता (घ.मी.) आवश्यक छ
463,Treatment_plants.validation.the_caretaker_name_is_required,en,The Caretaker Name is required.,treatment_plants,validation,any,f,हेरालूको नाम आवश्यक छ
464,Treatment_plants.validation.the_caretaker_name_may_only_contain_letters_and_spaces,en,The Caretaker Name may only contain letters and spaces.,treatment_plants,validation,any,f,हेरालूको नाममा अक्षर र खाली ठाउँहरू मात्र हुन सक्छन्
465,Treatment_plants.validation.the_caretaker_number_is_required,en,The Caretaker Number is required.,treatment_plants,validation,any,f,हेरालूको संख्या आवश्यक छ
466,Treatment_plants.validation.the_caretaker_number_must_be_an_integer,en,The Caretaker Number must be an integer.,treatment_plants,validation,any,f,हेरालूको संख्या अंक हुनुपर्छ
467,Treatment_plants.validation.the_treatment_plants_type_is_required,en,The Treatment Plant Type is required.,treatment_plants,validation,any,f,प्रशोधन केंद्रको प्रकार आवश्यक छ
468,Treatment_plants.validation.the_email_field_is_required_when_create_user_is_on,en,The Email field is required when create user is on.,treatment_plants,validation,any,f,प्रयोगकर्ता सिर्जना गर्दा इमेल आवश्यक छ
469,performance_efficiency_test.validation.treatment_plants_is_required,en,Treatment Plant is required.,performance_efficiency_test,validation,any,f,प्रशोधन केंद्रको आवस्यकता छ
470,performance_efficiency_test.validation.sample_date_is_required,en,Sample Date is required.,performance_efficiency_test,validation,any,f,नमूना मिति आवश्यक छ
471,performance_efficiency_test.validation.temperature_must_be_number,en,Temperature Â°C must be number.,performance_efficiency_test,validation,any,f,तापक्रम (°C) संख्या हुनुपर्छ
472,performance_efficiency_test.validation.ph_must_be_number,en,pH must be number.,performance_efficiency_test,validation,any,f,pH संख्या हुनुपर्छ
473,performance_efficiency_test.validation.cod_must_be_number,en,COD (mg/l) must be number.,performance_efficiency_test,validation,any,f,COD (मि.ग्रा./लि.) अंकमा हुनुपर्छ
474,performance_efficiency_test.validation.bod_must_be_number,en,BOD (mg/l) must be number.,performance_efficiency_test,validation,any,f,BOD (मि.ग्रा./लि.) अंकमा हुनुपर्छ
475,performance_efficiency_test.validation.tss_must_be_number,en,TSS (mg/l) must be number.,performance_efficiency_test,validation,any,f,TSS (मि.ग्रा./लि.) संख्या हुनुपर्छ
476,performance_efficiency_test.validation.ecoli_must_be_an_integer,en,Ecoli must be an integer.,performance_efficiency_test,validation,any,f,E.coli. अंकमा दशमलब बिना हुनुपर्छ
477,performance_efficiency_test.validation.cod_is_required,en,COD (mg/l) is required.,performance_efficiency_test,validation,any,f,COD (मि.ग्रा./लि.) आवश्यक छ
478,performance_efficiency_test.validation.ph_is_required,en,pH is required.,performance_efficiency_test,validation,any,f,pH आवश्यक छ
479,performance_efficiency_test.validation.bod_is_required,en,BOD (mg/l) is required.,performance_efficiency_test,validation,any,f,"BOD (मि.ग्रा./लि.) खाली छ, कृपया भर्नुहोस्"
480,performance_efficiency_test.validation.tss_is_required,en,TSS (mg/l) is required.,performance_efficiency_test,validation,any,f,TSS (मि.ग्रा./लि.) आवश्यक छ
481,performance_efficiency_test.validation.ecoli_is_required,en,Ecoli is required.,performance_efficiency_test,validation,any,f,E.coli. आवश्यक छ
482,performance_efficiency_test.validation.temperature_is_required,en,Temperature Â°C is required.,performance_efficiency_test,validation,any,f,तापक्रम (°C) आवश्यक छ
483,application.validation.the_street_name_street_code_is_required,en,The Street Name/ Street Code is required.,application,validation,any,f,सडकको नाम / संकेत नम्बर आवश्यक छ
484,application.validation.the_house_number_bin_is_required,en,The House Number / BIN is required.,application,validation,any,f,घर नम्बर/BIN आवश्यक छ
485,application.validation.the_ward_must_be_an_integer,en,The Ward must be an integer.,application,validation,any,f,वडा अंक हुनुपर्छ
486,application.validation.the_ward_must_be_at_least_1,en,The Ward must be at least 1.,application,validation,any,f,वडा कम्तिमा १ हुनुपर्छ
487,application.validation.the_owner_contact_must_be_an_integer,en,The owner contact must be an integer.,application,validation,any,f,घरधनीको सम्पर्क अंकमा हुनुपर्छ
488,application.validation.the_applicant_name_is_required,en,The Applicant Name is required.,application,validation,any,f,आवेदकको नाम आवश्यक छ
489,application.validation.the_applicant_gender_is_required,en,The Applicant Gender is required.,application,validation,any,f,आवेदकको लिङ्ग आवश्यक छ
490,application.validation.the_applicant_contact_is_required,en,The Applicant Contact (Phone) is required.,application,validation,any,f,आवेदकको सम्पर्क नम्बर आवश्यक छ
491,application.validation.the_proposed_emptying_date_is_required,en,The Proposed Emptying Date is required.,application,validation,any,f,प्रस्तावित खाली गर्ने मिति आवश्यक छ
492,application.validation.the_service_provider_name_is_required,en,The Service Provider Name is required.,application,validation,any,f,सेवा प्रदायकको नाम आवश्यक छ
493,application.validation.the_emergency_desludging_is_required,en,The Emergency Desludging is required.,application,validation,any,f,आकस्मिक खाली गर्ने आवश्यक छ
494,application.validation.the_emergency_desludging_must_be_yes_or_no,en,The Emergency Desludging must be Yes or No.,application,validation,any,f,आकस्मिक खाली गर्ने हो वा होइन हुनुपर्छ
495,application.validation.the_household_served_must_be_an_integer,en,The Household Served must be an integer.,application,validation,any,f,परिवारलाई सेवा दिइएको अंकमा हुनुपर्छ
496,application.validation.the_household_served_must_be_at_least_1,en,The Household Served must be at least 1.,application,validation,any,f,परिवारलाई सेवा दिइएको कम्तिमा १ हुनुपर्छ
497,ptct_users_log.heading.pt_users_log,en,PT Users Log,ptct_users_log,heading,any,f,सार्वजनिक शौचालयको प्रयोगकर्ता अभिलेख
498,ptct_users_log.button.add_pt_users_log,en,Add PT Users Log,ptct_users_log,button,any,f,सार्वजनिक शौचालयको प्रयोगकर्ता अभिलेख थप्नुहोस्
499,ptct_users_log.heading.edit_pt_users_log,en,Edit PT Users Log,ptct_users_log,heading,any,f,सार्बजनिक शौचालयको प्रयोगकर्ता अभिलेख सम्पादन गर्नुहोस्
500,ptct_users_log.heading.pt_users_log_details,en,PT Users Log Details,ptct_users_log,heading,any,f,सार्वजनिक शौचालयको प्रयोगकर्ता बिबरणहरु
501,ptct_users_log.label.no_of_male_users,en,No. of Male Users (daily),ptct_users_log,label,any,f,पुरुष प्रयोगकर्ताहरूको संख्या (दैनिक)
502,ptct_users_log.label.no_of_female_users,en,No. of Female Users (daily),ptct_users_log,label,any,f,महिला प्रयोगकर्ताहरूको संख्या (दैनिक)
503,application.validation.the_population_served_must_be_an_integer,en,The Population Served must be an integer.,application,validation,any,f,सेवा प्राप्त जनसंख्या अंकमा हुनुपर्छ
504,application.validation.the_population_served_must_be_at_least_1,en,The Population Served must be at least 1.,application,validation,any,f,सेवा प्राप्त जनसंख्या कम्तिमा १ हुनुपर्छ
505,application_.validation.the_toilet_count_must_be_an_integer,en,The Toilet Count must be an integer.,application,validation,any,f,शौचालयको संख्या अंक हुनुपर्छ
506,application.validation.the_toilet_count_must_be_at_least_1,en,The Toilet Count must be at least 1.,application,validation,any,f,शौचालयको संख्या कम्तिमा १ हुनुपर्छ
507,feedbacks.label.application_id,en,Application ID,feedbacks,label,mobile,f,आवेदनको संकेत नंबर
508,emptying_operator.label.application_id,en,Application ID,emptying operator,label,mobile,f,आवेदनको संकेत नंबर
